"AnimalID","feedlot","cohort","set13","brd50","inductionweight","mix_final","BVDV_PI_origin_FINAL","age_ind_est_m","PV_pre2_final","BVDV1","BVDV_binary","mix_final_v1","BVDV_PI_origin_FINAL_v1","age","weight"
"982 000050001764","1","AS03","AS03NE272494",1,402,"yes no 10+","TI but no PI in cohort",19,"0","0",0,"yes no","TI but no PI in cohort",0.19,0.402
"982 000051371593","1","AS03","AS03NE272494",1,395,"yes no 10+","TI but no PI in cohort",19,"0","0",0,"yes no","TI but no PI in cohort",0.19,0.395
"982 000058490979","7","JL04","JL04NB045624",0,380,"no no 2-3","no BVDV in cohort",17,"0","0",0,"no no","no BVDV in cohort",0.17,0.38
"982 000058653340","4","CR21","CR21NB433061",0,447,"yes no 10+","TI but no PI in cohort",29,"0","0",0,"yes no","TI but no PI in cohort",0.29,0.447
"982 000058810613","7","JL02","JL02NB230010",0,446,"yes no 10+","PI animal in cohort",25,"1","1",1,"yes no","PI animal in cohort",0.25,0.446
"982 000059054890","10","PC03","PC033SGJH239",1,477,"no no 10+","PI animal in cohort",20,"0","4",1,"no no","PI animal in cohort",0.2,0.477
"982 000060162377","7","JL06","JL06NH460052",1,358,"yes no 2-3","PI animal in cohort",21,"0","3",1,"yes no","PI animal in cohort",0.21,0.358
"982 000060423430","7","JL05","JL05ND292020",1,390,"yes no 4-9","TI but no PI in cohort",18,"0","4",1,"yes no","TI but no PI in cohort",0.18,0.39
"982 000060444269","10","PC03","PC033WLAA054",1,425,"no no 10+","PI animal in cohort",16,"0","5",1,"no no","PI animal in cohort",0.16,0.425
"982 000060444464","10","PC03","PC033WLAA054",1,415,"no no 10+","PI animal in cohort",16,"0","3",1,"no no","PI animal in cohort",0.16,0.415
"982 000060444589","10","PC03","PC033WLAA054",1,413,"no no 10+","PI animal in cohort",16,"0","4",1,"no no","PI animal in cohort",0.16,0.413
"982 000060445057","10","PC03","PC033WLAA054",1,448,"no no 10+","PI animal in cohort",16,"0","4",1,"no no","PI animal in cohort",0.16,0.448
"982 000060504786","10","PC03","PC033WLAA054",1,468,"no no 10+","PI animal in cohort",16,"0","4",1,"no no","PI animal in cohort",0.16,0.468
"982 000060505088","10","PC03","PC033WLAA054",0,449,"no no 10+","PI animal in cohort",16,"0","5",1,"no no","PI animal in cohort",0.16,0.449
"982 000060505092","10","PC03","PC033WLAA054",1,480,"no no 10+","PI animal in cohort",16,"0","4",1,"no no","PI animal in cohort",0.16,0.48
"982 000060771590","2","BC03","BC03QDWB0155",0,460,"no no 10+","PI animal in cohort",19,"0","4",1,"no no","PI animal in cohort",0.19,0.46
"982 000060862747","2","BC03","BC03QDWB0155",0,450,"no no 10+","PI animal in cohort",19,"0","1",1,"no no","PI animal in cohort",0.19,0.45
"982 000060969810","10","PC15","PC153EGON009",1,488,"no no 10+","TI but no PI in cohort",19,"1","0",0,"no no","TI but no PI in cohort",0.19,0.488
"982 000060973910","10","PC15","PC153EGON009",0,461,"no no 10+","TI but no PI in cohort",19,"1","3",1,"no no","TI but no PI in cohort",0.19,0.461
