SWAB_NUMBER,VAC_CODE,CALF_ID,SEX,location,Producer,pinkeye,weight,Pinkeye_score,,extra
345,4,w9115,s,3,1,0,662,0
513,4,OO6,b,6,2,0,664,0
533,4,868,h,6,2,0,664,0
406,3,b8702,h,4,1,0,664,0
13,1,y756,b,1,1,0,666,0
291,3,w8204,h,3,1,0,666,0
177,3,b8905,s,2,1,0,666,0
296,1,w1223,s,3,1,1,668,1
182,3,b4910,s,2,1,0,668,0
154,1,b0150,s,2,1,0,670,0
483,2,839,h,5,2,0,674,0
63,1,b0415,h,1,1,1,674,1
94,2,b0456,s,1,1,0,674,0
290,3,w1217,s,3,1,0,674,0
324,2,w9101,s,3,1,0,674,0
251,3,w0207,s,3,1,0,678,0
631,3,677,b,10,3,0,680,0
334,3,w9113,s,3,1,0,680,0
151,4,b8813,s,2,1,0,682,0
519,3,913,b,6,2,0,688,0
246,4,w8203,s,3,1,0,688,0
535,2,401,b,6,2,0,690,0
376,1,w1306,s,3,1,0,692,0
591,2,661,s,9,3,1,700,1
115,1,b4202,s,1,1,0,708,0
252,3,w4202,s,3,1,0,710,0
374,1,w9305,s,3,1,0,716,0
352,2,w2305,s,3,1,0,718,0
139,4,b4615,s,2,1,1,762,5
44,1,y853,h,1,1,0,762,0
25,1,w4317,h,1,1,0,762,0
580,1,785,s,9,3,0,762,0
593,1,764,s,9,3,0,762,0
609,2,743,s,9,3,0,762,0
581,1,769,s,9,3,1,762,1
422,4,b4504,s,4,1,0,762,0
119,3,b0436,s,1,1,1,762,2
157,1,b0136,s,2,1,0,762,0
192,1,b0288,s,2,1,0,762,0
445,4,b2811,s,4,1,0,762,0
448,4,b4012,s,4,1,0,762,0
231,4,w8202,s,3,1,0,762,0
317,1,w9107,s,3,1,0,762,0
340,4,w9108,s,3,1,0,762,0
333,2,w9118,s,3,1,0,762,0
346,4,w2103,s,3,1,0,762,0
