"","AnimalID","feedlot","cohort","Y","A","age","weight","mix_hist","PIgroup","PV_vacc","ps.re","ps.fe"
"580","982 000118335000",4,"CR12",1,1,0.18,0.474,"no no","TI but no PI in cohort",0,0.405423131861561,0.405134803066157
"591","982 000118531647",4,"CR05",0,1,0.17,0.453,"yes no","PI animal in cohort",1,0.763052902790861,0.770085803265344
"594","982 000118892568",4,"CR06",1,0,0.23,0.495,"yes no","PI animal in cohort",0,0.727298647537531,0.715017183124397
"595","982 000118893372",4,"CR06",0,0,0.23,0.471,"yes no","PI animal in cohort",0,0.743938547445765,0.733447822539965
"596","982 000118893524",4,"CR06",1,0,0.23,0.466,"yes no","PI animal in cohort",0,0.747320140317763,0.737190603748716
"597","982 000118893784",4,"CR06",0,0,0.23,0.455,"yes no","PI animal in cohort",0,0.754654941110527,0.745304780067549
"601","982 000119108764",4,"CR07",1,0,0.14,0.43,"yes no","PI animal in cohort",0,0.780050224463581,0.775305618294283
"602","982 000119115353",4,"CR12",1,1,0.19,0.451,"yes no","TI but no PI in cohort",0,0.677772233105701,0.668050390525102
"618","982 000119390052",4,"CR09",0,1,0.17,0.434,"yes no","TI but no PI in cohort",1,0.694084371411776,0.703002944296765
"638","982 000119653638",4,"CR05",1,1,0.17,0.472,"yes no","PI animal in cohort",1,0.750585765717113,0.756892589883163
"639","982 000119664046",4,"CR09",1,0,0.17,0.445,"yes no","TI but no PI in cohort",0,0.68498440899849,0.676494884658376
"643","982 000119901109",4,"CR12",0,0,0.19,0.475,"yes no","TI but no PI in cohort",1,0.659542748171103,0.665675977136392
"644","982 000119941341",4,"CR12",1,1,0.19,0.464,"yes no","TI but no PI in cohort",0,0.667565852782734,0.656870699374613
"645","982 000119941460",4,"CR12",1,0,0.19,0.436,"yes no","TI but no PI in cohort",0,0.689341121901017,0.680718000690985
"651","982 000120009854",4,"CR07",1,0,0.14,0.434,"yes no","PI animal in cohort",0,0.777593235403229,0.772614135686683
"652","982 000120010986",4,"CR12",1,1,0.19,0.487,"yes no","TI but no PI in cohort",1,0.649869743432502,0.655326953497486
"653","982 000120011059",4,"CR12",1,0,0.19,0.462,"yes no","TI but no PI in cohort",1,0.669873640253826,0.676709976169519
"655","982 000120100867",4,"CR09",0,1,0.17,0.455,"yes no","TI but no PI in cohort",0,0.677239667616509,0.668021017794562
"672","982 000120162974",4,"CR07",1,1,0.24,0.435,"no no","PI animal in cohort",0,0.534602168515738,0.535033603579309
"673","982 000120163169",4,"CR05",1,1,0.19,0.43,"no no","PI animal in cohort",0,0.54637253747537,0.549271147197696
"674","982 000120169347",4,"CR05",1,0,0.19,0.463,"no no","PI animal in cohort",0,0.517081059152753,0.517693040076408
"675","982 000120194497",4,"CR11",0,1,0.16,0.436,"yes no","PI animal in cohort",1,0.774871068229761,0.782757262306944
"676","982 000120195965",4,"CR07",1,1,0.24,0.389,"no no","PI animal in cohort",0,0.575092788037022,0.578663550935358
"677","982 000120196124",4,"CR05",1,0,0.19,0.42,"no no","PI animal in cohort",0,0.555195023578566,0.558774090770799
"678","982 000120196188",4,"CR07",0,1,0.24,0.402,"no no","PI animal in cohort",0,0.563727562866204,0.566427228659058
"679","982 000120221992",4,"CR11",1,1,0.18,0.499,"yes no","PI animal in cohort",1,0.730969530982983,0.735798544855412
"680","982 000120232686",4,"CR11",1,1,0.18,0.499,"yes no","PI animal in cohort",1,0.730969530982983,0.735798544855412
"681","982 000120247455",4,"CR11",1,1,0.18,0.469,"yes no","PI animal in cohort",1,0.751480402498195,0.757611776306733
"682","982 000120321597",4,"CR11",1,1,0.18,0.443,"yes no","PI animal in cohort",1,0.768388881448233,0.775499877469164
